place_id,place_name,city,latitude,longitude,category,distance_km,normal_eta_min,actual_eta_min,traffic_level
31,Airport 31,Hyderabad,17.487265,78.470503,Airport,13.89,35,35,Low
32,School 32,Hyderabad,17.260727,78.413515,School,34.84,72,87,High
33,Office 33,Bengaluru,13.001904,77.595626,Office,19.43,44,52,High
34,Office 34,Pune,18.365068,73.701166,Office,2.93,6,6,Low
35,Hospital 35,Pune,18.554427,73.899677,Hospital,5.08,12,15,Medium
36,School 36,Hyderabad,17.446101,78.419806,School,20.22,37,48,High
37,Metro Station 37,Delhi,28.704571,77.055116,Metro Station,23.84,43,43,Low
38,Office 38,Hyderabad,17.300472,78.642673,Office,34.87,55,71,High
39,Hospital 39,Bengaluru,12.900506,77.768787,Hospital,10.69,21,27,Medium
40,School 40,Pune,18.57922,74.014715,School,1.27,5,27,High
41,Mall 41,Chennai,13.004132,80.166527,Mall,31.25,70,70,Low
42,Hospital 42,Delhi,28.759821,77.333597,Hospital,22.56,40,52,High
43,School 43,Bengaluru,12.838695,77.767327,School,29.2,45,49,Medium
44,School 44,Chennai,12.929788,80.408618,School,19.76,38,40,Medium
45,Office 45,Chennai,12.94858,80.201673,Office,29.38,61,61,Low
46,Warehouse 46,Pune,18.377406,73.957542,Warehouse,31.56,54,54,Low
47,Metro Station 47,Pune,18.398901,73.964659,Metro Station,26.48,64,85,High
48,Metro Station 48,Chennai,13.050917,80.331867,Metro Station,7.1,0,17,Low
49,Warehouse 49,Mumbai,19.20998,73.006794,Warehouse,10.07,23,23,Low
50,Hospital 50,Chennai,12.982952,80.328312,Hospital,12.89,30,38,Medium
51,Mall 51,Hyderabad,17.435933,78.450584,Mall,30.39,75,79,Medium
52,Office 52,Pune,18.549412,74.030778,Office,32.93,53,57,Medium
53,Airport 53,Bengaluru,13.009835,77.598712,Airport,15.78,35,49,High
54,Office 54,Hyderabad,17.538207,78.500543,Office,9.66,21,21,Low
55,School 55,Mumbai,19.227478,72.922036,School,23.8,44,62,High
56,Warehouse 56,Mumbai,19.043021,72.842564,Warehouse,25.47,46,46,Low
57,Office 57,Delhi,28.703228,77.09165,Office,7.52,16,16,Low
58,Mall 58,Kolkata,22.54736,88.392695,Mall,19.63,29,33,Medium
59,Mall 59,Mumbai,19.181745,73.04324,Mall,16.02,35,41,Medium
60,Hospital 60,Mumbai,19.016668,72.992332,Hospital,3.88,8,25,High
61,Hospital 61,Pune,18.357037,74.030917,Hospital,11.55,27,35,High
62,Warehouse 62,Kolkata,22.651205,88.322132,Warehouse,16.48,39,39,Low
63,Hospital 63,Hyderabad,17.482217,78.345071,Hospital,23.31,35,35,Low
64,Hospital 64,Hyderabad,17.405666,78.636989,Hospital,28.34,62,62,Low
65,Metro Station 65,Bengaluru,12.905827,77.68649,Metro Station,28.25,61,61,Low
66,Office 66,Hyderabad,17.527995,78.574416,Office,31.33,60,75,High
67,Metro Station 67,Hyderabad,17.484963,78.481155,Metro Station,26.56,62,66,Medium
68,Mall 68,Chennai,13.017795,80.285155,Mall,3.63,6,10,Medium
69,Hospital 69,Chennai,13.052052,80.209817,Hospital,14.02,23,23,Low
70,Metro Station 70,Hyderabad,17.545582,78.313732,Metro Station,8.03,15,15,Low
71,Office 71,Pune,18.480795,73.997691,Office,17.22,42,46,Medium
72,Metro Station 72,Pune,18.419794,73.755692,Metro Station,26.42,54,109,High
73,Metro Station 73,Hyderabad,17.465705,78.609282,Metro Station,14.22,31,31,Low
74,Office 74,Chennai,12.912457,80.32209,Office,1.92,5,23,High
75,Warehouse 75,Chennai,13.066392,80.2122,Warehouse,7.18,13,17,Medium
76,Mall 76,Hyderabad,17.399191,78.666667,Mall,9.58,15,17,Medium
77,Hospital 77,Delhi,28.445071,77.118022,Hospital,3.33,8,28,High
78,Airport 78,Pune,18.543429,73.755167,Airport,6.18,10,19,High
79,Mall 79,Mumbai,18.937232,72.992648,Mall,6.7,14,21,Medium
80,Airport 80,Delhi,28.778842,77.171796,Airport,1.87,5,27,High
81,Hospital 81,Mumbai,19.146989,72.80627,Hospital,21.13,49,49,Low
82,Office 82,Mumbai,19.087788,72.935848,Office,28.07,58,58,Low
83,Office 83,Bengaluru,12.829594,77.760484,Office,12.6,30,45,High
84,Warehouse 84,Mumbai,19.243571,72.79493,Warehouse,25.05,48,55,Medium
85,Office 85,Pune,18.45643,73.765078,Office,16.81,39,45,Medium
86,Mall 86,Bengaluru,12.928036,77.424932,Mall,9.29,18,24,Medium
87,Mall 87,Pune,18.441077,73.891316,Mall,17.58,33,33,Low
88,Office 88,Delhi,28.580214,77.228863,Office,18.57,31,31,Low
89,School 89,Chennai,12.936199,80.170475,School,22.96,46,54,Medium
90,Hospital 90,Mumbai,19.019753,73.056487,Hospital,23.57,44,50,Medium
91,Mall 91,Kolkata,22.436036,88.25323,Mall,24.9,44,48,Medium
92,School 92,Bengaluru,13.057498,77.51414,School,33.33,73,84,High
93,Warehouse 93,Kolkata,22.499249,88.313817,Warehouse,21.29,53,64,High
94,Airport 94,Delhi,28.539069,77.368872,Airport,19.16,34,50,High
95,Warehouse 95,Mumbai,19.068337,72.820354,Warehouse,4.49,7,11,Medium
96,Mall 96,Bengaluru,12.999328,77.661722,Mall,4.88,8,13,Medium
97,Hospital 97,Chennai,13.103606,80.240523,Hospital,33.27,53,62,High
98,Warehouse 98,Kolkata,22.55198,88.49356,Warehouse,8.67,18,40,High
99,Mall 99,Hyderabad,17.546132,78.381504,Mall,22.11,47,56,High
100,Mall 100,Chennai,12.959052,80.237766,Mall,3.76,7,16,High
101,Office 101,Mumbai,19.149076,72.861151,Office,10.9,19,26,Medium
102,Office 101,Mumbai,19.149076,72.861151,Hospital,27.79,59,66,Medium
103,Hospital 103,Kolkata,22.41407,88.469246,Hospital,6.07,11,20,High
104,School 104,Kolkata,22.502073,88.328803,School,32.32,63,82,High
105,Office 105,Delhi,28.58943,77.145036,Office,17.79,28,50,High
106,Airport 106,Delhi,28.645264,77.036468,Airport,8.78,19,19,Low
107,School 107,Pune,18.527227,73.835903,School,20.59,47,50,Medium
108,Hospital 108,Delhi,28.559166,77.148991,Hospital,15.82,37,52,High
109,Airport 109,Mumbai,19.23627,72.990584,Airport,12.21,27,27,Low
110,Airport 110,Kolkata,22.538103,88.369155,Airport,3.99,7,9,Medium
111,School 111,Bengaluru,13.015748,77.594058,School,16.71,26,39,High
112,Warehouse 112,Hyderabad,17.522105,78.481196,Warehouse,7.92,16,16,Low
113,School 113,Bengaluru,12.796523,77.561477,School,28.18,62,78,High
114,Warehouse 114,Chennai,13.082115,80.348677,Warehouse,16.69,27,27,Low
115,School 115,Kolkata,22.557043,88.235971,School,15.13,30,35,Medium
116,Office 116,Chennai,13.180863,80.398288,Office,26.37,43,55,High
117,Warehouse 117,Delhi,28.735391,77.237772,Warehouse,10.08,15,27,High
118,Metro Station 118,Mumbai,19.170634,72.833496,Metro Station,16.18,32,32,Low
119,Warehouse 119,Delhi,28.742065,77.176879,Warehouse,34.35,60,60,Low
120,School 120,Delhi,28.719162,77.263727,School,24.98,58,63,Medium
121,Metro Station 121,Chennai,12.938831,80.394914,Metro Station,5.29,13,13,Low
122,Office 122,Bengaluru,13.140784,77.441538,Office,1.52,5,13,Medium
123,Mall 123,Pune,18.458684,73.919469,Mall,22.19,42,44,Medium
124,Metro Station 124,Kolkata,22.587366,88.406185,Metro Station,22.31,53,58,Medium
125,School 125,Chennai,13.05893,80.12614,School,32.31,81,90,High
126,School 126,Mumbai,19.012775,72.717903,School,16.09,35,35,Low
127,Mall 127,Delhi,28.719207,77.090194,Mall,5.95,12,18,Medium
128,Office 128,Bengaluru,12.875188,77.644246,Office,22.07,38,44,Medium
129,Mall 129,Hyderabad,17.401775,78.33329,Mall,1.32,5,23,High
130,Office 130,Delhi,28.738209,77.100718,Office,22.72,44,48,Medium
131,Warehouse 131,Hyderabad,17.311514,78.55844,Warehouse,4.63,9,13,Medium
132,Warehouse 132,Bengaluru,13.071792,77.765097,Warehouse,14.46,22,40,High
133,School 133,Kolkata,22.475443,88.472596,School,29.32,70,78,Medium
134,School 134,Chennai,13.140005,80.392501,School,22.11,48,48,Low
135,Airport 135,Mumbai,19.104647,72.96135,Airport,22.98,42,50,High
136,Mall 136,Bengaluru,12.985787,77.764336,Mall,26.41,44,47,Medium
137,Office 137,Kolkata,22.740858,88.290151,Office,29.24,51,59,Medium
138,Mall 138,Pune,18.650051,73.937418,Mall,16.92,27,27,Low
139,Warehouse 139,Hyderabad,17.398166,78.470423,Warehouse,13.44,31,43,High
140,School 140,Mumbai,18.935005,72.781876,School,9.91,19,32,High
141,Office 141,Bengaluru,13.020345,77.581736,Office,12.15,26,35,High
142,Mall 142,Mumbai,19.254534,72.739503,Mall,14.88,24,36,High
143,Office 143,Chennai,13.243251,80.241586,Office,14.21,27,27,Low
144,School 144,Mumbai,19.117635,73.035759,School,31.1,67,67,Low
145,Airport 145,Delhi,28.564467,77.382134,Airport,13.6,26,47,High
146,Office 146,Delhi,28.775544,77.325709,Office,13.19,25,34,High
147,School 147,Bengaluru,13.074846,77.502285,School,22.82,48,48,Low
148,Warehouse 148,Chennai,13.113798,80.383399,Warehouse,7.98,19,30,High
149,Mall 149,Chennai,13.25695,80.44621,Mall,27.81,58,58,Low
150,Mall 150,Kolkata,22.521567,88.467735,Mall,4.74,11,11,Low
151,Mall 151,Kolkata,22.581991,88.452339,Mall,6.92,11,11,Low
152,Metro Station 152,Hyderabad,17.54535,78.322311,Metro Station,18.45,30,36,Medium
153,Warehouse 153,Pune,18.699891,73.981727,Warehouse,18.73,37,45,High
154,School 154,Hyderabad,17.234085,78.525687,School,17.67,43,43,Low
155,Hospital 155,Bengaluru,12.928726,77.629661,Hospital,22.23,46,53,Medium
156,Metro Station 156,Delhi,28.740905,77.26333,Metro Station,21.58,35,44,High
157,Office 157,Pune,18.462415,73.83996,Office,30.43,59,73,High
158,School 158,Hyderabad,17.548293,78.553956,School,11.63,21,21,Low
159,Airport 159,Hyderabad,17.470967,78.598937,Airport,29.28,47,47,Low
160,Airport 160,Kolkata,22.540491,88.498399,Airport,33.53,69,78,High
161,Metro Station 161,Pune,18.377696,73.859369,Metro Station,2.75,5,18,High
162,School 162,Chennai,13.035022,80.365238,School,8.62,14,22,Medium
163,Hospital 163,Kolkata,22.613486,88.415272,Hospital,29.74,74,82,Medium
164,Office 164,Bengaluru,13.044572,77.525834,Office,29.2,52,64,High
165,Mall 165,Delhi,28.458951,77.295749,Mall,7.17,12,12,Low
166,Airport 166,Bengaluru,12.848267,77.526789,Airport,19.04,36,49,High
167,Warehouse 167,Delhi,28.705497,77.046914,Warehouse,21.27,51,61,High
168,Mall 168,Bengaluru,12.88994,77.68638,Mall,23.51,47,52,Medium
169,Mall 169,Bengaluru,12.981296,77.525631,Mall,4.77,10,16,Medium
170,Metro Station 170,Chennai,12.952105,80.182687,Metro Station,2.86,5,25,High
171,Airport 171,Delhi,28.62563,77.11184,Airport,17.91,35,35,Low
172,Warehouse 172,Kolkata,22.407829,88.190647,Warehouse,28.41,45,64,High
173,Warehouse 173,Bengaluru,12.94197,77.456062,Warehouse,20.58,43,50,Medium
174,Mall 174,Bengaluru,13.122717,77.446327,Mall,28.24,60,60,Low
175,Airport 175,Pune,18.653789,73.94519,Airport,15.81,30,30,Low
176,Mall 176,Chennai,12.972505,80.370142,Mall,3.6,8,8,Low
177,School 177,Delhi,28.504918,77.245864,School,28.71,50,62,High
178,Warehouse 178,Pune,18.507423,73.879645,Warehouse,3.56,9,24,High
179,Metro Station 179,Kolkata,22.508955,88.53345,Metro Station,32.42,67,84,High
180,Hospital 180,Delhi,28.532783,77.049222,Hospital,3.32,6,10,Medium
181,Airport 181,Kolkata,22.495948,88.41598,Airport,16.7,26,30,Medium
182,Airport 182,Pune,18.683923,73.942712,Airport,21.2,40,56,High
183,Metro Station 183,Bengaluru,12.84591,77.436875,Metro Station,23.16,42,58,High
184,Warehouse 184,Bengaluru,12.805691,77.669344,Warehouse,34.4,55,62,Medium
185,Office 185,Hyderabad,17.352157,78.428512,Office,21.73,41,55,High
186,Airport 186,Kolkata,22.636817,88.286193,Airport,23.01,36,52,High
187,Warehouse 187,Mumbai,18.925341,72.9366,Warehouse,33.79,71,84,High
188,Mall 188,Delhi,28.771581,77.140449,Mall,24.75,47,66,High
189,School 189,Hyderabad,17.563979,78.635181,School,28.65,62,70,Medium
190,School 190,Bengaluru,12.856495,77.491709,School,15.4,29,41,High
191,Metro Station 191,Pune,18.644394,73.713111,Metro Station,8.7,14,14,Low
192,Office 192,Pune,18.616271,73.723878,Office,31.05,48,70,High
193,Hospital 193,Hyderabad,17.529956,78.566326,Hospital,7.15,16,16,Low
194,Metro Station 194,Bengaluru,12.894174,77.684073,Metro Station,24.0,42,47,Medium
195,Hospital 195,Hyderabad,17.530431,78.376546,Hospital,9.13,23,38,High
196,Office 196,Mumbai,19.085886,73.045557,Office,16.7,30,35,Medium
197,Hospital 197,Pune,18.655082,73.876335,Hospital,5.71,10,25,High
198,School 198,Bengaluru,12.889805,77.74051,School,29.94,53,63,High
199,Warehouse 199,Chennai,13.221167,80.42567,Warehouse,4.12,10,18,Medium
200,Airport 200,Hyderabad,17.285834,78.421427,Airport,18.07,31,33,Medium
201,Warehouse 201,Bengaluru,12.894877,77.713314,Warehouse,23.1,53,61,High
202,Warehouse 202,Mumbai,19.222109,72.704541,Warehouse,26.8,53,53,Low
203,Warehouse 203,Chennai,12.942727,80.194417,Warehouse,19.66,44,44,Low
204,Airport 204,Delhi,28.456511,77.330208,Airport,9.11,19,19,Low
205,Office 205,Hyderabad,17.256688,78.461226,Office,1.56,5,24,High
206,Mall 206,Kolkata,22.581054,88.313717,Mall,20.4,34,34,Low
207,Office 207,Kolkata,22.706999,88.199572,Office,27.74,56,70,High
208,Mall 208,Hyderabad,17.291805,78.543258,Mall,26.41,49,51,Medium
209,Warehouse 209,Bengaluru,12.988165,77.707463,Warehouse,26.0,48,61,High
210,Warehouse 210,Chennai,13.194839,80.113416,Warehouse,16.8,37,47,High
211,Metro Station 211,Pune,18.355486,74.012714,Metro Station,10.98,17,17,Low
212,Metro Station 212,Kolkata,,88.49427,Metro Station,17.1,26,37,High
213,Warehouse 213,Bengaluru,13.111815,77.682191,Warehouse,12.29,20,34,High
214,Mall 214,Hyderabad,17.301019,78.33644,Mall,17.87,36,36,Low
215,Airport 215,Hyderabad,17.320636,78.335525,Airport,21.48,50,56,Medium
216,Mall 216,Mumbai,19.055807,72.858667,Mall,16.16,36,39,Medium
217,Warehouse 217,Mumbai,19.237246,72.724715,Warehouse,21.9,42,49,Medium
218,Metro Station 218,Mumbai,18.947401,72.916426,Metro Station,18.44,41,44,Medium
219,Metro Station 219,Pune,18.470774,74.018508,Metro Station,5.29,9,9,Low
220,Office 220,Bengaluru,13.06631,77.621212,Office,24.09,59,59,Low
221,Mall 221,Kolkata,22.657443,88.363556,Mall,11.69,21,23,Medium
222,Office 222,Hyderabad,17.563691,78.409508,Office,9.9,17,17,Low
223,Hospital 223,Hyderabad,17.461813,78.665714,Hospital,5.61,9,9,Low
224,School 224,Pune,18.44493,73.784684,School,23.71,52,58,Medium
225,School 225,Chennai,13.085852,80.13439,School,32.53,70,83,High
226,Warehouse 226,Chennai,13.10872,80.258966,Warehouse,9.05,18,18,Low
227,Hospital 227,Kolkata,22.651393,88.37315,Hospital,31.06,49,68,High
228,Metro Station 228,Pune,18.502391,73.921539,Metro Station,3.51,9,18,High
229,Hospital 229,Delhi,28.614931,77.341556,Hospital,22.75,38,52,High
230,Airport 230,Pune,18.59576,73.801268,Airport,6.2,10,32,High
231,Mall 231,Kolkata,22.437661,88.292917,Mall,9.52,20,20,Low
232,Airport 232,Kolkata,22.454232,88.408713,Airport,22.79,48,58,High
233,Mall 233,Kolkata,22.734077,88.461468,Mall,2.4,6,14,High
234,School 234,Delhi,28.613194,77.254779,School,27.08,52,52,Low
235,School 235,Delhi,28.540976,77.05527,School,17.42,40,47,Medium
236,Hospital 236,Bengaluru,12.843321,77.724735,Hospital,15.13,30,34,Medium
237,School 237,Delhi,28.636094,77.143882,School,34.16,56,60,Medium
238,Airport 238,Hyderabad,17.545339,78.617799,Airport,16.29,27,29,Medium
239,Hospital 239,Hyderabad,17.27334,78.364063,Hospital,28.66,70,70,Low
240,Metro Station 240,Kolkata,22.57456,88.531907,Metro Station,30.89,62,64,Medium
241,Office 241,Chennai,13.206126,80.332807,Office,2.65,5,11,Medium
242,Office 242,Delhi,28.56558,77.174171,Office,29.8,58,58,Low
243,Metro Station 243,Bengaluru,12.818071,77.596132,Metro Station,20.39,35,35,Low
244,Office 244,Pune,18.386719,73.711505,Office,29.06,62,68,Medium
245,Warehouse 245,Delhi,28.650787,77.173499,Warehouse,19.97,37,40,Medium
246,Airport 246,Bengaluru,12.956116,77.632854,Airport,5.66,10,10,Low
247,Hospital 247,Kolkata,22.658755,88.291624,Hospital,32.67,59,64,Medium
248,Office 248,Delhi,28.72757,77.161609,Office,19.1,42,57,High
249,Airport 249,Mumbai,19.143696,72.707293,Airport,20.85,48,55,Medium
250,Mall 250,Hyderabad,17.464704,78.516768,Mall,27.62,63,74,High
251,Office 251,Chennai,13.198498,80.177891,Office,25.52,58,68,High
252,School 252,Kolkata,22.541266,88.257301,School,7.49,15,15,Low
253,Warehouse 253,Kolkata,22.415021,88.23361,Warehouse,32.3,77,96,High
254,Office 254,Chennai,13.247107,80.256179,Office,34.94,69,74,Medium
255,Mall 255,Kolkata,22.624191,88.433493,Mall,13.05,30,48,High
256,Metro Station 256,Kolkata,22.731535,88.537514,Metro Station,33.55,60,60,Low
257,Mall 257,Pune,18.465969,74.012832,Mall,8.05,18,33,High
258,School 258,Pune,18.662874,73.818732,School,10.78,22,28,Medium
259,Warehouse 259,Delhi,28.558591,77.188255,Warehouse,10.88,19,19,Low
260,School 260,Delhi,28.636226,77.126784,School,8.28,19,23,Medium
261,Office 261,Bengaluru,12.982775,77.64426,Office,20.95,37,59,High
262,Airport 262,Bengaluru,12.841088,77.761827,Airport,12.23,24,31,Medium
263,Metro Station 263,Chennai,12.974504,80.437709,Metro Station,32.79,78,96,High
264,Mall 264,Delhi,28.517499,77.294927,Mall,3.01,7,24,High
265,Airport 265,Pune,18.483318,73.855038,Airport,15.21,36,36,Low
266,Warehouse 266,Mumbai,18.934628,73.051578,Warehouse,30.81,47,53,Medium
267,Metro Station 267,Delhi,28.615417,77.127221,Metro Station,19.47,39,60,High
268,Airport 268,Pune,18.407432,73.941882,Airport,6.52,13,17,Medium
269,Mall 269,Pune,18.570341,73.822677,Mall,23.93,41,62,High
270,Office 270,Hyderabad,17.376883,78.643597,Office,3.95,9,12,Medium
271,Mall 271,Bengaluru,13.001286,77.620836,Mall,9.01,20,24,Medium
272,School 272,Delhi,28.54435,77.17495,School,24.55,38,40,Medium
273,School 273,Kolkata,22.613865,88.262786,School,24.47,52,56,Medium
274,Metro Station 274,Chennai,13.155399,80.419307,Metro Station,16.47,41,41,Low
275,Office 275,Pune,18.554893,73.960153,Office,29.07,66,86,High
276,Metro Station 276,Kolkata,22.414833,88.381054,Metro Station,24.93,39,48,High
277,Hospital 277,Kolkata,22.551663,88.428806,Hospital,19.25,32,48,High
278,Office 278,Mumbai,19.059236,72.882469,Office,4.09,8,16,Medium
279,Office 279,Hyderabad,17.212837,78.398305,Office,20.0,43,43,Low
280,School 280,Bengaluru,12.814554,77.772485,School,20.66,32,32,Low
281,Metro Station 281,Bengaluru,13.022549,77.677144,Metro Station,10.76,18,18,Low
282,Mall 282,Hyderabad,17.23389,78.653792,Mall,16.25,39,44,Medium
283,Office 283,Pune,18.481901,73.722545,Office,23.22,43,43,Low
284,Warehouse 284,Chennai,13.161574,80.243386,Warehouse,26.71,66,66,Low
285,Warehouse 285,Hyderabad,17.542468,78.567709,Warehouse,9.42,17,17,Low
286,Airport 286,Bengaluru,12.865789,77.450923,Airport,15.25,35,46,High
287,Metro Station 287,Bengaluru,12.807525,230.0,Metro Station,23.85,57,76,High
288,Hospital 288,Kolkata,22.722503,88.3913,Hospital,5.76,14,14,Low
289,Office 289,Kolkata,22.58025,88.332782,Office,28.83,50,68,High
290,Airport 290,Delhi,28.67825,77.229106,Airport,33.25,79,97,High
291,Mall 291,Bengaluru,12.941477,77.468318,Mall,23.83,54,73,High
292,Hospital 292,Hyderabad,17.459728,78.596779,Hospital,17.1,40,61,High
293,Office 293,Bengaluru,12.879029,77.487801,Office,33.9,70,73,Medium
294,Airport 294,Mumbai,18.964573,72.794346,Airport,29.8,47,54,Medium
295,Office 295,Mumbai,19.10753,72.939422,Office,2.34,5,25,High
296,Metro Station 296,Chennai,13.240078,80.437048,Metro Station,30.56,56,56,Low
297,School 297,Bengaluru,12.934388,77.500759,School,32.09,70,77,Medium
298,Warehouse 298,Delhi,28.528062,77.213614,Warehouse,13.94,28,32,Medium
299,Metro Station 299,Hyderabad,17.320284,78.379826,Metro Station,28.3,63,63,Low
300,Metro Station 300,Delhi,28.527779,77.365513,Metro Station,20.13,35,35,Low
301,School 301,Kolkata,22.597724,88.272363,School,11.04,19,22,Medium
302,School 302,Kolkata,22.62361,88.360514,School,12.48,28,47,High
303,School 303,Chennai,13.232784,80.285869,School,6.76,15,20,Medium
304,Airport 304,Mumbai,18.913465,72.699998,Airport,2.15,5,23,High
305,Warehouse 305,Chennai,13.084764,80.225052,Warehouse,8.87,20,31,High
306,School 306,Kolkata,22.398263,88.375496,School,32.75,79,94,High
307,Airport 307,Hyderabad,17.385798,78.557929,Airport,19.0,34,34,Low
308,Warehouse 308,Hyderabad,17.274096,78.496224,Warehouse,4.64,7,7,Low
309,Mall 309,Pune,18.543801,74.033184,Mall,28.03,44,49,Medium
310,Mall 310,Chennai,13.176151,80.12436,Mall,29.15,46,64,High
311,Metro Station 311,Hyderabad,17.234767,78.611019,Metro Station,17.18,37,47,High
312,Warehouse 312,Mumbai,19.086137,72.713019,Warehouse,20.24,48,50,Medium
313,Warehouse 313,Chennai,12.929465,80.423911,Warehouse,31.18,62,84,High
314,Office 314,Kolkata,22.738729,88.395233,Office,2.12,5,13,High
315,Warehouse 315,Pune,18.543425,73.880711,Warehouse,28.91,70,80,High
316,Metro Station 316,Pune,18.390782,74.032552,Metro Station,31.48,58,77,High
317,Airport 317,Mumbai,18.979572,72.725067,Airport,26.35,49,63,High
318,Warehouse 318,Kolkata,22.403265,88.282298,Warehouse,33.47,63,76,High
319,Metro Station 319,Hyderabad,17.44969,78.544542,Metro Station,13.1,32,32,Low
320,Warehouse 320,Bengaluru,12.88807,77.5514,Warehouse,11.04,19,28,High
321,School 321,Pune,18.34227,73.787676,School,26.15,48,48,Low
322,Warehouse 322,Delhi,28.634415,77.213479,Warehouse,4.48,7,12,Medium
323,Airport 323,Bengaluru,12.908395,77.553286,Airport,13.03,21,21,Low
324,Metro Station 324,Delhi,28.791283,77.116387,Metro Station,27.49,61,67,Medium
325,Hospital 325,Kolkata,22.570125,88.206676,Hospital,13.94,23,35,High
326,Mall 326,Hyderabad,17.54492,78.566224,Mall,11.19,26,30,Medium
327,Office 327,Hyderabad,17.546576,78.426298,Office,7.65,12,20,High
328,Metro Station 328,Kolkata,22.626973,88.397881,Metro Station,15.97,31,39,Medium
329,Mall 329,Delhi,28.781147,77.377741,Mall,33.21,56,66,High
330,School 330,Delhi,28.551219,77.129908,School,22.52,56,67,High
331,Metro Station 331,Pune,18.405174,73.953042,Metro Station,4.87,10,16,Medium
332,School 332,Bengaluru,13.090861,77.439497,School,33.06,57,65,Medium
333,Warehouse 333,Pune,18.431365,73.732192,Warehouse,23.88,39,43,Medium
334,Warehouse 334,Hyderabad,17.34929,78.489081,Warehouse,3.51,9,14,Medium
335,School 335,Pune,18.662781,73.869986,School,19.48,45,49,Medium
336,Airport 336,Mumbai,19.12892,72.713647,Airport,27.14,59,59,Low
337,School 337,Mumbai,18.93414,72.733198,School,14.59,33,47,High
338,Office 338,Chennai,13.06318,80.231508,Office,18.64,39,50,High
339,School 339,Pune,18.378038,73.826451,School,24.47,40,55,High
340,Airport 340,Bengaluru,12.866072,77.588453,Airport,5.82,11,31,High
341,Airport 341,Hyderabad,17.221086,78.56258,Airport,25.55,50,52,Medium
342,Warehouse 342,Bengaluru,13.145804,77.502409,Warehouse,23.03,50,53,Medium
343,Office 343,Chennai,13.189892,80.317414,Office,12.25,24,24,Low
344,School 344,Chennai,12.973737,80.303893,School,15.69,24,46,High
345,Airport 345,Hyderabad,17.491563,78.514545,Airport,8.3,15,35,High
346,Warehouse 346,Pune,18.434847,73.987249,Warehouse,7.36,13,22,High
347,School 347,Kolkata,22.517853,88.488286,School,21.3,45,51,Medium
348,Hospital 348,Kolkata,22.423111,88.232121,Hospital,25.0,45,62,High
349,Hospital 349,Bengaluru,12.931447,77.629313,Hospital,4.98,9,12,Medium
350,Metro Station 350,Kolkata,22.624894,88.543864,Metro Station,7.32,16,23,Medium
351,Hospital 351,Kolkata,22.615588,88.495488,Hospital,10.82,18,26,Medium
352,Metro Station 352,Bengaluru,13.026705,77.561888,Metro Station,7.63,14,14,Low
353,Metro Station 353,Hyderabad,17.21611,78.58068,Metro Station,29.56,59,76,High
354,Airport 354,Delhi,28.637534,77.307117,Airport,8.64,15,23,Medium
355,Office 355,Hyderabad,17.501382,78.43877,Office,4.85,0,24,High
